lumpy,x,y,cld,dtr,frs,pet,pre,tmn
0,107.25,22.75,89.1,3.9,0.39,1.5,15.5,8.7
0,134.25,61.75,63.7,6.4,31.0,0.0,5.2,-42.7
0,104.75,36.25,47.3,8.5,30.91,0.7,1.6,-12.8
0,13.75,-19.75,62.5,7.0,0.0,3.9,36.0,15.8
0,44.25,35.25,48.4,9.8,3.22,1.3,52.1,6.2
1,19.5,40.8167,71.9,8.4,8.31,1.1,112.3,3.7
1,20.47591,41.698409,81.0,6.6,24.49,0.8,79.1,-3.3
1,20.070284,42.311189,82.0,6.0,26.09,0.7,71.6,-4.8
1,22.239204,42.194056,80.4,6.6,25.78,0.7,28.2,-4.5
1,22.589436,42.052237,84.3,6.4,26.09,0.7,27.7,-4.8
0,13.75,-19.25,63.8,7.9,0.0,3.9,44.0,15.7
0,53.75,20.25,33.6,9.3,0.0,3.8,0.0,17.0
1,80.558806,51.35587,60.6,9.7,31.0,0.1,7.3,-26.0
0,121.25,66.75,62.9,6.2,31.0,0.0,15.4,-36.9
0,42.75,37.75,54.7,6.9,24.15,0.8,64.8,-3.0
0,150.25,65.25,94.4,7.5,31.0,0.0,21.1,-36.2
0,32.75,54.25,86.4,4.5,29.37,0.0,51.6,-8.8
1,44.9843,43.0808,78.7,7.0,26.39,0.4,26.8,-5.1
0,87.25,33.25,40.9,14.4,31.0,0.9,7.5,-23.5
0,52.25,22.75,42.7,8.0,0.0,3.5,1.6,16.6
0,49.75,53.75,71.3,6.2,31.0,0.1,47.1,-15.5
0,96.25,75.25,59.3,7.0,31.0,0.0,12.4,-33.5
1,22.1094,40.9397,69.5,7.3,21.77,0.6,31.3,-1.5
1,20.324368,41.7175,81.0,6.6,24.49,0.8,79.1,-3.3
0,36.75,54.75,84.8,5.1,30.3,0.1,41.7,-10.6
0,77.75,9.75,42.9,8.9,0.0,4.1,10.0,21.3
0,95.75,27.75,33.0,13.2,0.15,1.8,27.4,9.2
0,67.25,43.25,55.5,9.6,29.61,0.6,13.3,-9.2
0,84.75,42.25,41.7,11.9,31.0,0.6,2.8,-24.0
1,26.4294,41.6219,78.1,7.0,20.27,0.6,37.6,-0.9
0,162.25,68.75,71.3,8.9,31.0,0.0,7.0,-34.2
1,20.297327,41.142503,79.1,7.1,24.03,0.8,80.6,-2.9
0,54.25,22.25,44.0,8.9,0.0,3.3,1.0,16.1
0,72.25,62.25,69.0,6.5,31.0,0.1,21.5,-23.9
1,26.11,40.77,71.0,6.8,14.99,0.8,46.5,1.1
0,154.25,63.25,79.1,8.2,31.0,0.0,26.2,-36.0
0,111.75,27.25,82.7,4.1,19.5,1.2,50.7,-0.6
0,115.75,68.75,77.5,7.2,31.0,0.0,14.8,-36.9
0,120.25,71.75,66.2,6.0,31.0,0.0,18.8,-40.2
0,122.25,41.75,24.6,10.5,31.0,0.4,0.1,-18.2
1,22.045777,41.808763,81.1,6.7,23.8,0.6,25.3,-2.7
0,135.75,44.75,41.2,6.8,31.0,0.6,15.4,-18.3
0,87.75,66.25,90.2,5.9,31.0,0.0,30.9,-27.9
0,135.75,64.25,56.4,7.1,31.0,0.0,1.7,-47.7
0,19.75,-7.75,85.0,11.5,0.0,2.9,173.9,17.2
0,102.25,72.25,48.9,6.6,31.0,0.0,31.3,-30.9
0,117.75,24.75,70.5,6.6,3.91,1.8,11.2,5.8
0,105.75,22.25,86.3,3.3,0.0,1.6,14.4,10.4
1,24.063333,41.595556,78.0,6.6,27.32,1.0,41.4,-6.1
0,86.25,66.75,88.6,5.8,31.0,0.0,31.2,-27.1
0,119.25,63.75,61.2,7.1,31.0,0.0,13.4,-34.5
0,86.75,48.25,43.2,9.9,31.0,0.2,9.8,-28.7
0,24.25,43.75,85.1,5.8,24.93,0.4,32.6,-3.7
0,118.25,39.25,22.7,10.8,30.86,1.0,0.0,-12.5
0,102.75,34.75,48.1,17.8,31.0,1.0,1.9,-18.9
0,86.25,57.75,58.8,7.6,31.0,0.0,12.4,-26.8
1,20.94189,40.5962,77.9,7.2,25.04,0.7,67.8,-3.8
0,125.75,68.25,63.2,6.0,31.0,0.0,17.5,-41.1
0,74.75,54.25,41.3,8.5,31.0,0.0,5.6,-26.8
0,43.25,29.25,37.5,12.3,2.75,2.9,6.0,6.5
0,60.75,65.75,69.4,8.0,31.0,0.1,25.9,-23.9
0,107.25,36.75,45.9,9.4,30.95,0.9,1.2,-13.1
0,78.75,43.25,46.7,11.9,31.0,0.5,5.4,-17.8
0,112.75,39.75,12.4,11.6,31.0,0.8,0.4,-19.6
0,104.75,54.75,58.3,9.8,31.0,0.0,9.3,-36.0
0,78.75,29.75,45.3,12.2,7.15,1.7,11.0,4.2
0,125.25,68.75,62.9,5.9,31.0,0.0,19.8,-40.5
0,78.25,63.25,89.6,6.8,31.0,0.0,21.2,-25.1
1,35.448,37.425,61.4,6.7,2.31,1.4,176.7,6.8
0,117.25,59.75,71.0,8.3,31.0,0.0,10.8,-36.2
0,38.25,52.75,81.4,5.3,30.45,0.2,38.4,-11.0
0,48.75,19.25,44.5,10.3,0.0,3.6,1.0,15.3
0,154.75,69.25,83.5,8.8,31.0,0.0,15.9,-37.1
0,40.75,34.75,47.2,11.3,8.79,1.6,19.8,3.5
0,107.75,24.75,88.5,3.3,3.73,1.4,19.7,5.9
0,95.75,80.25,58.8,7.5,31.0,0.0,6.8,-38.7
0,29.75,28.25,32.1,15.0,3.22,2.8,0.0,6.2
