Response,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts
1,58138.0,0,0,58,635,88,546
0,46344.0,1,1,38,11,1,6
0,71613.0,0,0,26,426,49,127
0,26646.0,1,0,26,11,4,20
0,58293.0,1,0,94,173,43,118
0,62513.0,0,1,16,520,42,98
0,55635.0,0,1,34,235,65,164
0,33454.0,1,0,32,76,10,56
1,30351.0,1,0,19,14,0,24
0,5648.0,1,1,68,28,0,6
0,7500.0,0,0,59,6,16,11
0,63033.0,0,0,82,194,61,480
0,59354.0,1,1,53,233,2,53
0,17323.0,0,0,38,3,14,17
1,82800.0,0,0,23,1006,22,115
0,41850.0,1,1,51,53,5,19
0,37760.0,0,0,20,84,5,38
0,76995.0,0,1,91,1012,80,498
0,33812.0,1,0,86,4,17,19
0,37040.0,0,0,41,86,2,73
0,2447.0,1,0,42,1,1,1725
0,58607.0,0,1,63,867,0,86
0,65324.0,0,1,0,384,0,102
0,40689.0,0,1,69,270,3,27
0,18589.0,0,0,89,6,4,25
0,53359.0,1,1,4,173,4,30
0,38360.0,1,0,26,36,2,42
0,84618.0,0,0,96,684,100,801
0,10979.0,0,0,34,8,4,10
0,38620.0,0,0,56,112,17,44
0,40548.0,0,1,31,110,0,5
1,46610.0,0,2,8,96,12,96
0,68657.0,0,0,4,482,34,471
0,49389.0,1,1,55,40,0,19
0,67353.0,0,1,37,702,17,151
0,23718.0,1,0,76,6,3,14
0,42429.0,0,1,99,55,0,6
1,48948.0,0,0,53,437,8,206
0,80011.0,0,1,3,421,76,536
0,20559.0,1,0,88,13,1,29
0,21994.0,0,1,4,9,0,6
0,7500.0,1,0,19,3,1,10
0,79941.0,0,0,72,123,164,266
1,7500.0,0,0,24,3,18,14
0,41728.0,1,0,92,13,6,15
0,72550.0,1,1,39,826,50,317
0,65486.0,0,1,29,245,19,125
0,79143.0,0,0,2,650,37,780
0,35790.0,1,0,54,12,6,20
1,82582.0,0,0,54,510,120,550
0,66373.0,1,1,57,328,9,124
1,82384.0,0,0,55,984,51,432
1,70287.0,0,0,30,295,35,482
0,27938.0,1,0,31,13,0,8
0,55954.0,0,1,63,447,0,28
1,75777.0,0,0,12,712,26,538
0,66653.0,1,1,18,452,18,102
0,61823.0,0,1,26,523,7,134
0,67680.0,0,1,8,546,0,48
0,70666.0,0,0,29,398,40,367
1,25721.0,1,0,75,1,3,6
0,32474.0,1,1,0,10,0,1
1,88194.0,0,1,19,688,14,309
0,69096.0,0,1,4,247,49,159
0,74854.0,1,2,90,856,59,487
0,66991.0,0,0,1,496,36,460
0,65031.0,0,1,29,258,107,291
0,60631.0,1,1,88,565,6,65
0,28332.0,0,0,58,14,10,13
0,40246.0,1,0,68,2,1,6
1,75251.0,0,0,34,721,111,925
1,75825.0,0,0,40,1032,105,779
0,26326.0,0,0,12,1,0,5
1,56046.0,0,0,9,577,0,64
0,29760.0,1,0,87,64,4,68
0,26304.0,1,0,5,4,1,5
0,23559.0,1,0,87,25,5,19
0,38620.0,0,0,56,112,17,44
0,81361.0,0,0,18,163,23,424
0,29440.0,1,1,95,17,8,14
0,36138.0,1,1,48,130,0,16
1,50388.0,0,1,3,292,6,37
0,79593.0,0,0,70,350,60,568
0,54178.0,0,1,79,135,9,39
0,42394.0,1,0,69,15,2,10
0,23626.0,1,0,84,27,2,14
0,30096.0,1,0,30,5,3,11
0,47916.0,0,1,72,505,0,26
0,51813.0,1,1,37,51,2,7
0,78497.0,0,0,44,207,26,447
0,50150.0,0,0,32,135,46,92
0,47823.0,0,1,0,53,1,5
0,34554.0,0,1,43,41,1,6
0,85693.0,0,1,59,386,172,183
0,65846.0,0,0,68,562,81,276
1,87195.0,0,0,35,217,76,690
0,24594.0,1,0,94,1,3,6
0,49096.0,1,1,15,144,1,32
0,52413.0,0,2,56,295,106,271
0,38557.0,1,0,17,76,3,31
0,89058.0,0,0,18,454,194,106
0,77298.0,0,1,46,425,115,292
1,68126.0,0,0,40,1332,17,311
0,57288.0,0,1,27,527,0,21
1,86037.0,0,0,95,490,44,125
0,43974.0,1,0,19,378,0,101
0,50785.0,1,1,27,64,1,21
0,90765.0,0,0,25,547,99,812
0,36550.0,1,0,74,47,90,94
0,30753.0,1,1,85,12,5,25
0,21918.0,1,0,37,1,6,7
0,56129.0,0,1,65,320,48,133
1,32557.0,1,0,13,34,3,29
0,19510.0,2,0,63,9,0,7
0,30992.0,1,0,83,17,0,14
1,101970.0,0,0,69,722,27,102
0,71488.0,0,0,87,162,33,124
1,79607.0,0,0,37,450,133,951
0,54348.0,1,1,51,70,0,16
0,77376.0,1,1,72,492,19,110
0,62998.0,0,1,10,120,58,73
0,61331.0,1,1,42,534,5,47
0,73448.0,0,0,10,236,106,189
0,41551.0,1,1,51,220,0,33
0,62981.0,0,0,21,796,14,590
0,9548.0,1,0,31,0,1,3
0,33762.0,2,1,61,53,1,34
1,35860.0,1,1,37,15,0,8
0,36921.0,1,1,74,17,1,12
0,92859.0,0,0,46,962,61,921
1,65104.0,0,1,4,738,0,232
0,86111.0,0,0,73,399,28,756
0,68352.0,0,1,47,614,16,132
0,41883.0,1,0,13,32,34,41
0,59809.0,0,2,36,598,16,141
1,23957.0,1,0,47,2,1,18
0,38547.0,1,0,49,6,1,10
0,35688.0,2,1,94,73,3,90
0,49605.0,0,0,65,42,16,29
0,59354.0,0,2,59,295,21,78
0,65747.0,0,1,96,346,17,48
0,46344.0,0,1,28,233,20,57
0,34176.0,1,0,12,5,7,24
0,61010.0,0,1,57,888,0,57
1,69372.0,0,0,10,997,26,269
0,49967.0,0,1,4,212,6,69
0,60199.0,1,2,49,8,1,7
0,55375.0,0,1,3,42,11,57
0,80317.0,0,0,64,536,11,387
0,30523.0,2,1,0,5,0,3
0,70356.0,0,0,20,1349,16,249
0,23228.0,1,0,91,53,3,49
0,74165.0,0,0,9,1001,12,240
0,157243.0,0,1,98,20,2,1582
0,43482.0,2,1,83,18,1,32
0,62551.0,0,0,27,125,16,98
0,52332.0,0,0,63,212,5,33
0,66951.0,0,0,46,277,162,305
0,26091.0,1,1,84,15,10,19
0,33456.0,1,1,58,7,3,10
0,28718.0,1,0,78,12,4,6
0,50447.0,2,0,4,85,7,24
0,53537.0,1,1,17,81,0,6
0,52074.0,0,1,77,59,0,12
0,80427.0,0,1,56,1149,71,449
1,83837.0,0,0,79,847,66,119
0,38853.0,1,1,90,29,0,14
0,38285.0,2,1,96,2,0,5
0,78497.0,0,0,44,207,26,447
0,51650.0,0,1,81,152,3,22
0,16248.0,1,0,77,12,11,10
0,66835.0,0,0,21,620,26,195
0,30477.0,1,0,16,47,1,6
0,28249.0,0,0,80,1,9,7
0,25271.0,1,0,45,10,1,18
0,32303.0,0,1,63,35,0,2
0,61286.0,0,1,34,356,0,107
0,74068.0,0,0,14,783,30,537
0,45759.0,1,1,13,42,1,18
0,24882.0,1,0,52,1,4,10
0,66973.0,0,0,98,466,22,432
0,36640.0,1,0,99,15,6,8
0,38872.0,1,0,93,23,3,21
0,51148.0,1,1,38,235,6,45
0,31353.0,1,1,24,10,0,10
0,69661.0,0,0,80,656,16,106
0,80067.0,0,0,82,519,17,813
0,86718.0,0,0,20,344,189,482
1,46854.0,1,1,81,96,1,79
0,69142.0,0,1,50,448,4,34
0,75922.0,0,0,60,265,138,553
0,63693.0,0,1,63,587,43,337
1,102160.0,0,0,54,763,29,138
0,40637.0,1,1,72,22,0,13
1,18890.0,0,0,5,6,4,1
0,29604.0,1,0,88,7,6,13
0,48721.0,1,1,50,81,18,113
0,44794.0,0,1,99,54,0,7
1,64497.0,0,1,17,1170,48,320
0,46097.0,0,1,11,72,24,68
0,77972.0,0,0,18,613,22,319
0,44377.0,1,1,70,224,0,30
0,46014.0,1,1,21,410,0,59
0,70951.0,0,0,66,239,10,554
0,41443.0,1,0,79,171,7,171
0,52195.0,2,1,2,12,0,4
0,83790.0,0,0,81,1076,16,417
0,44551.0,0,1,24,182,4,33
0,69508.0,1,0,48,824,32,162
0,45204.0,1,0,93,30,11,25
0,72460.0,0,0,56,377,10,540
0,77622.0,0,2,3,520,7,154
0,30732.0,1,0,44,155,1,25
0,63887.0,0,1,38,897,23,207
0,42011.0,1,0,46,131,0,16
0,51369.0,0,1,84,297,7,79
0,51537.0,0,1,27,787,20,204
0,79930.0,0,0,72,792,86,740
0,34320.0,1,0,66,4,1,9
1,37070.0,1,1,30,231,7,137
0,81975.0,0,1,2,983,76,184
0,38590.0,1,0,65,3,1,8
0,15033.0,0,0,37,0,4,5
0,62745.0,0,1,89,562,21,464
0,22212.0,1,0,49,5,9,20
0,23661.0,1,0,46,18,0,4
0,79761.0,0,1,32,415,5,124
0,7500.0,1,0,54,5,3,10
0,60182.0,0,1,23,8,0,5
0,73455.0,0,0,98,901,61,757
0,64961.0,0,1,97,382,114,276
0,22804.0,1,0,75,14,1,7
1,73687.0,0,0,8,559,153,503
0,61074.0,0,1,37,789,0,133
0,31686.0,1,1,31,11,0,5
1,80134.0,1,0,40,1218,16,272
0,75027.0,0,1,74,925,64,179
0,67546.0,0,0,90,864,134,768
0,65176.0,0,1,57,960,28,183
0,31160.0,1,0,59,16,3,25
0,29938.0,1,0,52,3,3,7
1,102692.0,0,0,5,168,148,444
0,26490.0,0,0,92,45,47,52
0,75702.0,1,1,77,650,28,353
0,30899.0,1,0,35,24,0,8
0,63342.0,0,1,48,918,21,118
0,45989.0,0,1,97,138,33,87
0,18701.0,1,1,95,12,4,2
0,40737.0,2,1,24,11,0,4
1,15287.0,1,0,60,1,2,8
0,69674.0,0,2,46,554,41,215
0,44159.0,1,0,85,167,2,62
0,37717.0,1,0,31,9,0,6
1,43776.0,1,1,9,177,2,71
0,38179.0,1,1,30,38,4,22
0,80124.0,0,0,47,483,84,398
1,38097.0,1,1,70,77,2,35
0,72940.0,0,0,13,182,74,298
0,22070.0,1,0,11,10,7,19
1,69267.0,0,0,31,778,44,499
0,31788.0,1,0,15,16,7,23
0,61905.0,0,1,2,167,0,43
0,29315.0,1,1,55,13,2,14
0,33378.0,1,1,38,33,6,40
0,66313.0,0,1,86,625,7,99
1,60714.0,0,0,56,216,162,224
0,77882.0,0,0,29,68,129,396
1,69867.0,0,0,30,196,0,512
0,63841.0,0,1,64,635,15,100
0,24480.0,1,0,46,4,19,9
0,51369.0,0,1,84,297,7,79
0,37760.0,0,0,20,84,5,38
0,65640.0,0,1,74,204,7,149
0,44319.0,1,1,18,26,0,8
0,30631.0,1,0,75,15,6,20
0,75278.0,0,0,17,304,98,230
0,50898.0,1,1,88,285,28,242
0,79946.0,0,0,19,395,183,565
0,35416.0,0,0,62,248,3,81
0,32414.0,0,0,11,20,6,5
0,38361.0,1,0,74,39,0,56
0,82497.0,0,0,32,777,129,573
0,16626.0,2,0,76,8,3,22
0,29672.0,1,1,6,9,1,3
0,55951.0,0,1,62,1241,0,80
0,35388.0,1,0,20,6,4,7
0,42386.0,1,0,43,65,4,16
0,68627.0,0,0,45,395,15,263
0,57912.0,0,1,34,801,0,80
0,35246.0,1,1,53,36,0,12
0,58821.0,0,1,44,513,14,154
0,46377.0,1,0,89,37,0,46
0,39747.0,1,0,43,80,15,93
0,23976.0,1,0,68,14,1,21
0,80950.0,0,0,44,525,147,112
1,27038.0,0,0,64,1,26,25
0,77457.0,0,0,85,675,11,400
0,64100.0,0,1,93,509,0,27
0,42670.0,0,0,12,154,2,46
0,12571.0,1,0,86,3,5,14
0,22574.0,2,1,28,25,0,8
0,70893.0,0,0,42,768,44,561
0,54198.0,1,1,13,185,0,28
0,28839.0,1,1,86,24,0,7
0,40321.0,1,1,59,44,4,21
0,66503.0,1,0,30,91,64,128
0,30833.0,1,1,33,11,0,7
0,64795.0,0,1,23,412,5,119
0,34421.0,1,0,81,3,3,7
0,47025.0,1,1,6,16,0,3
0,64325.0,0,1,41,731,60,353
0,40464.0,0,1,78,424,17,118
0,62187.0,0,0,49,792,0,275
0,14849.0,1,0,39,21,2,28
0,27255.0,1,0,3,22,1,11
0,54432.0,2,1,37,33,0,5
0,29999.0,1,0,22,68,7,59
0,24072.0,1,0,79,9,1,6
0,33996.0,0,0,46,40,2,15
1,66334.0,0,1,82,909,11,218
1,35178.0,1,0,10,23,1,13
0,22010.0,1,0,51,11,2,9
0,62204.0,0,2,38,317,46,247
1,75693.0,0,0,10,797,153,293
0,30675.0,1,0,14,10,2,16
1,83003.0,0,0,18,856,61,570
0,83532.0,0,0,36,755,144,562
0,68655.0,0,0,95,456,19,832
0,41411.0,0,0,11,37,32,38
0,55212.0,0,1,65,1103,0,45
0,59292.0,0,1,71,378,14,68
1,27190.0,1,0,13,1,6,7
0,82623.0,0,0,58,204,34,204
0,44300.0,1,1,65,30,0,9
1,84835.0,0,0,0,189,104,379
0,30372.0,1,1,33,15,0,12
0,33181.0,1,0,90,9,0,3
0,71113.0,0,1,95,495,33,255
0,71952.0,1,0,93,656,80,455
1,69759.0,0,0,38,452,20,514
0,72099.0,0,0,18,546,91,410
0,60000.0,0,1,57,1048,0,217
0,38643.0,1,1,45,22,2,14
0,50737.0,0,1,61,78,0,11
0,68462.0,0,0,6,561,64,785
0,65073.0,0,0,65,629,17,177
0,46681.0,0,2,52,269,15,69
0,78618.0,0,0,87,736,163,818
0,62187.0,0,1,38,512,0,83
0,28442.0,2,0,53,19,3,10
0,37717.0,1,0,31,9,0,6
0,51479.0,1,1,67,247,8,160
0,54803.0,0,1,65,404,0,92
0,79530.0,0,0,64,333,0,815
0,31615.0,1,0,82,2,3,20
0,72025.0,0,0,27,833,33,549
0,52614.0,0,1,63,789,0,142
0,35684.0,1,0,66,10,4,7
0,48178.0,1,1,69,159,4,45
0,29548.0,1,0,52,7,1,6
0,63810.0,0,1,45,977,12,253
1,38578.0,1,1,2,38,4,22
0,46098.0,1,1,86,57,0,27
1,22585.0,0,0,23,3,9,15
0,30279.0,1,0,13,10,4,14
0,66426.0,0,1,14,1043,24,97
0,30822.0,1,0,92,3,9,13
0,33581.0,2,0,38,11,0,5
0,19986.0,1,0,74,3,6,5
0,27421.0,0,0,14,43,12,96
0,35688.0,2,1,94,73,3,90
0,36143.0,1,0,33,12,0,1
0,10245.0,1,0,32,4,7,7
1,43795.0,0,1,11,314,11,53
0,63381.0,0,1,78,571,50,142
0,38823.0,0,1,56,70,0,11
0,83664.0,1,1,57,866,21,151
0,90300.0,0,0,7,594,134,786
0,62499.0,1,0,0,140,4,61
0,74293.0,0,0,66,375,152,335
0,51012.0,0,0,86,102,9,63
0,70777.0,0,1,80,554,35,113
0,68682.0,0,0,56,919,0,505
0,43824.0,1,1,18,96,1,42
1,15345.0,1,0,51,5,2,16
0,23442.0,1,0,71,2,0,6
1,14515.0,1,0,71,6,4,9
0,31395.0,1,1,80,23,1,25
0,75276.0,0,0,2,610,105,125
0,42373.0,1,1,83,67,5,61
0,30507.0,0,0,29,65,36,74
1,55521.0,1,2,11,416,0,26
0,48006.0,1,1,55,23,0,11
1,27213.0,1,0,19,19,3,26
0,65808.0,1,1,1,155,7,80
0,30351.0,1,0,19,14,0,24
0,50437.0,0,2,28,370,9,92
1,23616.0,1,0,76,4,22,11
0,53858.0,0,1,50,407,53,221
0,66465.0,0,1,1,1200,0,204
0,46923.0,1,0,90,85,44,54
0,75072.0,0,1,83,583,34,309
0,75865.0,0,0,73,483,0,591
0,19789.0,1,0,24,2,5,9
0,80134.0,0,0,11,966,26,282
1,91065.0,0,0,33,822,114,108
0,49505.0,1,1,4,604,0,100
0,37401.0,1,0,14,19,3,19
0,30096.0,1,0,30,5,3,11
0,18492.0,1,0,75,2,2,2
1,82584.0,0,0,26,1076,68,103
0,93027.0,0,0,77,1285,42,716
0,48686.0,1,2,8,10,0,7
0,92910.0,0,0,42,551,137,792
0,75433.0,1,0,28,800,0,297
0,10404.0,1,0,52,2,2,11
0,61314.0,0,1,1,378,0,189
1,84865.0,0,0,1,1248,16,349
0,42387.0,1,0,42,235,0,235
0,67309.0,1,1,76,515,47,181
0,75236.0,0,1,27,438,66,400
0,30015.0,1,0,28,25,0,22
0,50943.0,0,1,49,31,0,7
0,67272.0,0,1,12,357,35,271
0,51529.0,0,1,14,400,4,35
0,32011.0,1,0,89,99,0,15
0,7500.0,1,0,96,1,11,5
0,28691.0,1,0,56,5,4,13
0,56223.0,0,1,72,77,28,31
0,18100.0,0,0,14,3,1,2
0,30279.0,1,0,13,10,4,14
0,20130.0,0,0,99,0,6,3
0,23295.0,0,0,72,0,0,1
0,42618.0,1,0,92,76,14,74
0,81246.0,0,0,87,398,190,537
0,24027.0,1,0,7,14,7,11
0,55707.0,0,1,91,208,7,82
0,57959.0,0,1,71,430,16,322
0,56796.0,0,1,24,656,38,161
0,36230.0,1,0,17,14,2,30
0,70829.0,1,1,87,141,70,106
0,65991.0,0,1,21,507,19,364
0,38988.0,1,2,90,164,24,103
1,89572.0,0,0,44,606,24,974
1,42207.0,1,0,71,116,11,72
0,50300.0,0,1,52,143,15,60
0,66664.0,0,0,78,398,96,447
1,60597.0,0,1,2,522,0,257
0,70165.0,0,0,60,161,0,253
0,50520.0,0,1,25,112,0,6
0,80124.0,0,0,47,483,84,398
0,33183.0,1,0,46,7,5,39
0,66582.0,0,0,83,789,25,420
1,75261.0,0,0,17,1239,17,413
0,31880.0,1,0,13,4,1,5
0,53790.0,0,2,86,335,42,127
0,49269.0,1,0,92,639,8,166
0,61456.0,0,1,47,563,76,384
1,37406.0,1,0,18,2,0,8
1,56937.0,1,0,81,746,8,125
0,38415.0,1,1,91,22,1,13
0,20518.0,1,0,58,4,1,6
0,62503.0,0,1,40,478,0,193
0,41644.0,1,1,67,20,3,4
0,55842.0,0,1,19,451,0,39
0,62010.0,0,1,93,371,22,39
0,41124.0,1,0,41,281,7,84
0,38961.0,1,0,60,19,7,19
0,37760.0,1,0,54,26,3,13
1,32233.0,1,0,26,138,15,35
0,43057.0,0,1,30,213,2,44
0,83151.0,0,0,93,407,28,100
1,78825.0,0,0,35,483,74,114
0,65104.0,0,1,4,738,0,232
0,60093.0,0,1,92,502,12,109
0,14045.0,1,0,24,11,0,5
0,28457.0,0,0,96,24,1,108
0,78952.0,0,1,11,1170,19,594
0,46310.0,1,0,99,185,2,88
0,76005.0,0,0,72,983,20,389
0,58308.0,0,1,77,691,0,69
0,55614.0,0,0,85,504,13,131
0,59432.0,0,1,88,317,25,265
0,55563.0,0,1,22,29,1,9
0,78642.0,0,1,83,1396,0,322
0,67911.0,0,1,63,529,0,356
0,65275.0,0,0,9,388,14,218
0,27203.0,1,1,92,13,2,21
0,48330.0,0,1,2,28,0,4
0,24279.0,0,0,6,16,36,21
0,64355.0,1,0,66,1047,0,140
0,50943.0,0,1,49,31,0,7
0,53653.0,0,0,29,815,10,239
0,65665.0,0,1,77,225,162,387
0,81217.0,0,0,77,493,70,324
0,34935.0,0,0,71,34,4,66
0,61250.0,0,1,49,382,138,65
0,39665.0,1,0,97,127,1,56
0,60152.0,0,1,6,325,83,300
0,48920.0,0,2,93,238,17,68
0,89120.0,0,0,78,1168,92,408
0,44124.0,0,1,62,284,0,55
0,81169.0,0,0,47,1288,20,613
0,36443.0,1,1,9,65,0,46
0,26095.0,1,0,77,11,7,9
