default.payment.next.month,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
0,70000.0,2,2,2,34,2,2,2,0,0,2,64913.0,63387.0,58840.0,56431.0,56859.0,54449.0,3000.0,0.0,2000.0,4219.0,1700.0,323.0
1,100000.0,2,2,1,39,3,2,2,2,2,0,76620.0,74813.0,69802.0,69887.0,68023.0,68734.0,0.0,5395.0,2433.0,0.0,2471.0,5191.0
0,50000.0,1,2,1,46,0,0,0,0,0,0,48885.0,48793.0,34440.0,30889.0,30182.0,29912.0,2000.0,2500.0,2000.0,1500.0,5000.0,1500.0
0,330000.0,2,2,1,25,0,-1,0,0,0,0,118053.0,197622.0,25664.0,9461.0,6407.0,15791.0,198842.0,25000.0,9004.0,6000.0,15000.0,6000.0
1,30000.0,2,3,2,23,0,0,0,0,0,0,28371.0,28238.0,28963.0,29991.0,22876.0,22177.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
0,450000.0,2,2,1,34,0,0,0,0,0,0,372188.0,383052.0,74835.0,87584.0,95161.0,103398.0,20000.0,3703.0,15000.0,10000.0,10000.0,25000.0
0,20000.0,2,3,2,24,0,-1,0,0,0,0,1360.0,1301.0,2257.0,2641.0,5041.0,248.0,1301.0,1267.0,1648.0,4041.0,0.0,3422.0
0,20000.0,1,2,2,34,1,2,0,0,0,0,15095.0,14459.0,12607.0,16430.0,19230.0,0.0,0.0,6000.0,5000.0,3000.0,0.0,0.0
0,230000.0,2,1,2,29,-1,-1,-1,-1,-1,-1,33147.0,1672.0,3677.0,18346.0,3900.0,4167.0,1672.0,3677.0,18346.0,3900.0,4167.0,399.0
1,50000.0,1,2,2,25,0,0,0,0,0,2,20636.0,17792.0,17422.0,17273.0,18827.0,16996.0,1604.0,1702.0,1500.0,2004.0,16.0,607.0
0,500000.0,2,2,2,49,-1,-1,-1,0,0,-1,27891.0,8970.0,385228.0,391047.0,0.0,150.0,8982.0,385228.0,7821.0,0.0,150.0,363.0
0,150000.0,2,1,1,49,1,-2,-2,-1,-1,-1,0.0,0.0,0.0,12200.0,16961.0,3000.0,0.0,0.0,12200.0,16961.0,3000.0,493.0
0,180000.0,2,2,2,28,0,0,0,0,0,2,42238.0,38741.0,36696.0,35813.0,37893.0,34661.0,2500.0,2000.0,1128.0,2500.0,0.0,2000.0
0,50000.0,1,3,2,25,-1,0,0,0,0,0,42838.0,37225.0,36087.0,9636.0,9590.0,10030.0,1759.0,1779.0,320.0,500.0,1000.0,1000.0
