0,1,2,3,4,5,6,7,8,9,10,11,uid
0,180000.0,2,1,2,36,-2,-2,-2,-2,-2,-2,uid_7083
0,180000.0,1,3,1,36,-1,-1,-1,-1,-1,-1,uid_2213
1,320000.0,2,1,2,30,-1,-1,-1,-2,-2,-1,uid_2352
0,20000.0,2,2,2,48,0,0,0,0,2,-1,uid_5394
0,50000.0,2,1,1,34,0,0,0,0,0,0,uid_28803
0,60000.0,1,2,1,44,0,0,0,0,0,0,uid_5800
0,50000.0,1,2,2,25,0,0,-1,-1,-1,0,uid_977
1,500000.0,2,1,2,32,0,0,0,0,0,0,uid_2055
1,200000.0,1,1,1,36,-2,-2,-2,-2,-2,-2,uid_10661
0,200000.0,1,3,1,34,0,0,0,0,0,0,uid_28321
0,500000.0,2,2,2,32,-1,-1,-1,-1,0,0,uid_23466
0,180000.0,2,1,2,27,-1,0,0,0,2,0,uid_26816
1,30000.0,2,1,2,25,0,0,0,0,0,-2,uid_28643
0,30000.0,2,3,1,53,0,0,0,0,0,0,uid_24533
1,250000.0,1,1,2,41,-1,3,2,2,2,-2,uid_9825
0,180000.0,2,2,1,26,0,0,0,0,0,0,uid_27276
0,150000.0,2,1,2,29,0,0,0,0,2,2,uid_8751
0,50000.0,2,2,2,26,-1,-1,-1,-1,-1,-1,uid_28845
0,160000.0,2,2,2,25,0,0,0,0,0,0,uid_23589
0,110000.0,2,1,2,25,0,0,0,0,0,0,uid_28271
0,270000.0,1,3,2,36,0,0,0,0,0,0,uid_4383
0,500000.0,2,2,1,28,-2,-2,-2,-1,0,0,uid_24083
0,90000.0,2,3,1,40,0,0,0,0,0,0,uid_5387
0,150000.0,1,2,1,35,-1,-1,-1,-1,-1,-1,uid_292
1,360000.0,2,1,1,36,-2,-2,-2,-2,-2,-2,uid_8578
0,150000.0,2,1,2,26,0,0,0,0,-1,-1,uid_25292
1,200000.0,2,2,1,51,-1,-1,-1,-1,-1,-1,uid_28157
0,200000.0,2,3,2,45,0,0,0,0,0,0,uid_9214
1,200000.0,1,2,1,43,2,3,2,2,2,2,uid_3708
0,80000.0,2,2,2,34,0,0,0,2,0,0,uid_1913
0,130000.0,2,3,2,27,0,0,0,0,0,0,uid_7061
0,440000.0,2,1,1,35,0,0,0,0,0,0,uid_24624
1,300000.0,1,1,2,29,1,-2,-2,-2,-2,-2,uid_4051
1,30000.0,2,2,1,22,2,0,0,0,0,0,uid_4415
0,280000.0,2,2,2,27,0,0,0,0,0,0,uid_167
1,10000.0,1,2,2,24,3,2,2,3,3,3,uid_493
