default.payment.next.month,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2
0,70000.0,2,2,2,34,2,2
1,100000.0,2,2,1,39,3,2
0,50000.0,1,2,1,46,0,0
0,330000.0,2,2,1,25,0,-1
1,30000.0,2,3,2,23,0,0
0,450000.0,2,2,1,34,0,0
0,20000.0,2,3,2,24,0,-1
0,20000.0,1,2,2,34,1,2
0,230000.0,2,1,2,29,-1,-1
1,50000.0,1,2,2,25,0,0
0,500000.0,2,2,2,49,-1,-1
0,150000.0,2,1,1,49,1,-2
0,180000.0,2,2,2,28,0,0
0,50000.0,1,3,2,25,-1,0
0,160000.0,2,2,2,39,-1,-1
0,130000.0,2,2,2,42,1,2
0,50000.0,1,3,1,55,0,0
1,10000.0,1,1,2,24,0,0
1,70000.0,1,2,2,32,3,2
0,230000.0,2,1,2,27,0,0
0,50000.0,2,3,1,22,0,0
1,500000.0,2,1,1,35,0,0
0,130000.0,2,3,2,23,-1,0
0,390000.0,2,1,2,29,0,0
1,10000.0,1,3,2,42,1,2
1,180000.0,1,3,0,27,-2,-2
1,400000.0,1,3,1,42,0,0
0,240000.0,1,1,1,47,-2,-2
0,80000.0,1,1,2,36,0,0
0,20000.0,1,3,2,40,0,0
0,50000.0,2,3,1,47,0,0
0,460000.0,1,3,1,61,0,-1
0,240000.0,1,1,2,41,0,0
0,20000.0,1,2,1,27,-1,-1
1,20000.0,1,2,2,24,2,2
0,60000.0,1,1,1,46,1,2
0,210000.0,2,2,1,32,-1,-1
0,80000.0,1,1,1,37,2,2
0,220000.0,2,1,2,27,0,0
0,200000.0,2,1,1,40,-2,-2
1,150000.0,2,3,1,48,2,2
0,140000.0,1,2,2,39,0,0
0,200000.0,2,2,2,32,0,0
0,210000.0,1,2,1,75,0,0
1,250000.0,2,2,2,24,2,0
0,200000.0,1,2,1,58,2,2
0,420000.0,2,2,1,31,0,0
1,50000.0,2,1,2,22,0,0
0,150000.0,1,3,1,34,0,0
0,270000.0,2,1,2,33,-2,-2
0,130000.0,1,2,2,32,0,0
0,140000.0,2,1,2,33,0,0
1,50000.0,2,1,1,54,2,2
0,50000.0,1,2,3,53,0,0
0,20000.0,1,1,2,23,0,0
0,50000.0,1,2,2,26,0,0
1,200000.0,1,1,2,29,1,-2
1,50000.0,2,1,2,25,2,2
0,50000.0,1,1,2,23,0,0
0,200000.0,2,2,1,33,1,-1
0,280000.0,2,2,1,27,-2,-2
0,290000.0,2,2,2,24,0,0
1,50000.0,1,3,2,40,0,0
0,360000.0,2,1,1,33,1,-2
1,30000.0,2,2,1,27,2,0
0,390000.0,2,1,1,32,-2,-1
0,380000.0,2,1,2,34,-1,0
0,160000.0,2,2,2,30,0,0
0,60000.0,1,2,1,45,0,0
0,50000.0,2,1,2,26,0,0
0,20000.0,2,3,1,52,0,0
1,140000.0,1,2,2,44,0,0
0,300000.0,2,2,1,53,-2,-2
0,70000.0,1,2,2,27,0,0
1,150000.0,1,1,1,56,2,0
0,60000.0,1,2,2,33,0,0
1,80000.0,2,3,1,46,0,0
0,30000.0,1,1,2,24,0,0
