lumpy,x,y,cld,dtr,frs
0,29.25,22.25,23.9,16.7,1.21
0,133.75,44.25,41.9,6.9,31.0
0,44.25,33.25,44.0,11.7,5.85
0,149.75,70.25,76.0,8.3,31.0
0,-10.75,10.25,40.8,16.3,0.0
0,36.75,27.75,30.4,12.3,6.27
0,70.25,43.25,60.9,9.8,30.38
1,36.436,37.189,65.9,6.8,5.85
0,88.75,35.25,39.2,15.1,31.0
0,105.25,32.75,69.2,6.3,22.49
0,49.25,39.75,66.8,8.1,14.72
0,126.25,43.75,27.4,11.6,31.0
0,118.25,50.75,30.9,12.2,31.0
0,44.25,31.25,34.4,11.9,3.91
1,20.035455,41.056754,79.1,7.1,24.03
0,100.25,58.25,68.2,9.6,31.0
0,66.75,52.25,37.7,8.7,31.0
1,20.067938,41.432266,79.1,7.1,24.03
0,109.25,41.25,25.6,12.1,31.0
0,80.75,18.25,17.3,13.1,0.0
1,37.231672,37.382859,69.4,7.2,16.06
0,87.25,67.25,87.9,5.8,31.0
0,104.25,56.25,63.0,9.9,31.0
0,-14.75,11.25,48.3,12.5,0.0
0,128.25,61.75,82.3,6.0,31.0
0,60.25,31.25,40.9,15.3,20.52
0,140.25,67.75,54.2,7.4,31.0
0,152.25,66.75,92.9,8.1,31.0
0,48.75,34.75,61.2,11.5,29.55
0,124.75,63.75,62.1,5.9,31.0
0,40.25,55.75,85.8,5.9,30.88
0,35.75,28.75,28.8,12.2,5.85
0,103.25,32.25,58.5,15.0,29.83
0,136.75,63.75,55.9,7.0,31.0
0,74.75,49.75,29.2,9.8,31.0
0,98.25,23.25,22.0,14.1,3.39
0,60.25,53.75,49.6,8.9,31.0
0,58.75,54.25,55.8,9.1,31.0
0,110.25,27.25,86.1,4.2,22.49
0,16.25,-19.75,58.8,15.2,0.0
0,125.75,61.25,70.1,6.0,31.0
1,21.909957,42.335263,82.8,6.5,25.15
0,162.25,59.75,74.0,7.3,31.0
0,88.25,62.75,82.8,7.1,31.0
0,117.25,27.25,79.2,5.4,16.59
0,59.75,63.75,67.1,8.1,31.0
0,57.75,49.75,56.8,9.2,31.0
0,74.75,29.75,45.7,15.0,4.84
1,34.984138,32.636246,57.2,8.1,0.15
0,18.75,-13.25,81.3,11.4,0.0
0,177.75,65.75,52.2,8.3,31.0
0,83.25,46.75,47.3,10.6,31.0
0,114.75,37.25,24.7,10.0,29.31
0,156.25,55.75,64.4,6.4,31.0
0,69.75,55.25,43.9,8.5,31.0
1,22.229204,42.426228,80.4,6.6,25.78
0,148.25,60.25,64.0,6.6,31.0
0,146.25,65.75,70.5,8.1,31.0
0,74.75,19.25,17.7,17.7,0.0
0,105.25,70.75,57.1,7.2,31.0
0,56.25,57.75,68.7,6.8,31.0
0,148.25,67.75,78.2,7.9,31.0
0,122.75,45.75,27.0,10.8,31.0
0,131.75,48.25,38.7,9.1,31.0
0,99.25,23.25,33.6,14.4,5.64
0,77.25,49.25,38.5,10.4,31.0
0,87.25,28.25,37.7,19.2,31.0
0,94.25,74.75,62.1,7.3,31.0
0,147.25,71.25,64.8,7.8,31.0
0,102.25,39.75,30.5,13.4,31.0
0,40.75,31.25,36.1,12.3,7.38
0,112.25,36.75,32.9,10.8,31.0
0,105.25,69.25,61.4,7.7,31.0
0,112.25,53.25,26.6,12.7,31.0
0,107.25,56.25,65.9,9.7,31.0
0,82.25,63.25,87.4,7.0,31.0
0,103.25,59.75,71.9,10.1,31.0
0,119.25,29.25,67.1,5.6,20.27
0,95.75,64.25,74.5,6.4,31.0
0,35.75,64.25,88.9,6.9,31.0
0,18.25,-16.25,71.3,12.8,0.0
1,20.400568,41.978723,81.0,6.6,24.49
0,61.25,64.25,67.5,7.9,31.0
0,67.25,63.75,80.7,5.8,31.0
0,117.75,32.25,55.7,7.5,25.36
0,107.75,14.75,48.1,7.8,0.0
0,64.25,51.75,33.8,8.7,31.0
1,20.331414,42.225746,82.0,6.0,26.09
1,22.38332,42.45146,80.4,6.6,25.78
0,159.75,55.75,78.9,6.1,31.0
0,81.25,19.25,18.4,14.9,0.0
0,48.75,40.75,67.9,8.0,27.5
0,122.75,62.75,58.4,6.1,31.0
0,100.25,55.75,58.3,10.9,31.0
0,169.75,61.75,66.3,9.1,31.0
0,153.75,64.25,82.9,8.3,31.0
0,40.25,21.75,47.3,12.3,0.0
0,178.75,63.25,50.4,8.0,31.0
0,126.75,44.25,29.9,11.3,31.0
0,19.25,-25.75,38.1,15.1,0.0
0,40.25,25.25,40.5,12.4,0.01
0,93.75,59.75,74.2,7.7,31.0
0,47.75,42.25,72.5,6.7,26.19
0,101.75,76.75,53.6,6.9,31.0
0,76.25,53.25,40.5,9.0,31.0
0,41.25,49.25,80.5,5.1,29.61
0,104.75,74.75,53.3,6.1,31.0
0,57.25,47.75,62.0,9.4,31.0
1,19.573173,42.949039,78.7,5.8,27.59
0,113.25,38.25,28.8,11.1,31.0
0,35.75,39.75,70.9,8.1,26.68
0,32.75,55.25,87.3,5.0,29.77
1,91.876,22.298,30.5,11.3,0.0
0,76.75,57.25,57.0,7.9,31.0
0,102.25,34.25,46.1,18.8,31.0
0,81.75,64.25,89.5,6.4,31.0
0,94.75,63.25,75.6,6.9,31.0
0,56.25,56.75,69.4,7.7,31.0
0,114.75,55.75,56.3,11.1,31.0
0,55.25,58.25,69.9,6.5,31.0
0,92.75,24.25,42.2,12.8,0.0
0,84.75,59.25,66.9,7.1,31.0
1,23.763333,41.740556,80.8,6.4,25.99
0,66.75,58.75,57.2,7.4,31.0
0,116.75,40.25,20.9,10.0,30.84
0,94.75,61.75,74.8,7.9,31.0
0,61.75,76.25,77.5,8.0,31.0
0,85.25,43.75,39.4,11.2,31.0
0,65.25,51.25,35.5,8.5,31.0
0,92.75,33.75,38.0,16.1,31.0
1,34.538857,36.922657,65.9,7.3,9.03
0,60.25,60.25,71.3,8.9,31.0
0,173.75,61.75,64.8,8.4,31.0
0,20.25,-16.75,68.8,12.0,0.0
0,40.75,59.75,89.7,6.8,31.0
0,16.25,-7.75,85.0,11.8,0.0
0,79.75,62.25,84.1,6.8,31.0
0,139.75,68.25,52.7,7.5,31.0
0,50.75,24.25,45.7,7.9,0.0
0,25.75,26.75,21.0,14.9,3.39
0,64.75,60.25,61.6,7.1,31.0
0,64.75,47.25,54.1,8.6,31.0
1,35.338278,37.812983,69.4,6.7,26.39
0,74.75,38.75,46.1,10.1,31.0
0,39.25,47.25,79.8,5.3,27.23
0,112.25,75.25,63.3,6.1,31.0
0,119.75,32.75,48.8,7.7,26.09
0,40.75,32.25,38.3,12.1,8.55
1,86.857682,21.636522,37.0,13.2,0.0
0,94.75,65.25,74.9,6.6,31.0
0,168.75,65.25,66.7,9.7,31.0
0,106.75,76.75,57.4,6.8,31.0
0,72.75,66.25,86.8,6.2,31.0
0,45.75,55.25,73.8,5.7,31.0
0,73.75,64.25,81.9,6.8,31.0
1,20.324368,41.7175,81.0,6.6,24.49
1,36.029557,37.447029,65.9,6.8,5.85
0,115.25,27.75,80.4,4.1,14.99
0,43.25,65.25,88.1,7.3,31.0
0,104.75,22.75,81.4,3.8,0.0
0,85.75,48.75,44.6,11.4,31.0
0,70.75,47.75,33.5,10.3,31.0
1,44.216086,46.479088,79.8,5.7,28.01
0,42.25,21.75,45.5,12.5,0.0
1,35.207342,32.403422,54.0,8.3,0.74
0,-175.75,67.25,82.0,7.3,31.0
0,155.75,69.25,81.9,8.8,31.0
0,72.75,51.75,34.6,8.9,31.0
1,19.90351,41.31854,71.1,8.3,12.33
0,128.25,65.25,68.5,6.9,31.0
0,35.25,31.25,44.4,10.1,0.45
0,110.75,51.75,32.1,12.0,31.0
0,129.75,55.75,51.5,10.0,31.0
0,104.25,73.25,51.4,6.3,31.0
0,140.25,69.25,54.0,7.2,31.0
0,94.75,79.75,60.0,7.4,31.0
0,23.75,-11.75,83.8,11.0,0.0
0,25.25,23.75,17.5,15.9,8.31
1,26.14,40.84,71.0,6.8,14.99
0,124.75,43.75,23.3,9.4,31.0
0,139.75,48.75,47.8,7.0,31.0
0,117.75,68.75,72.0,7.0,31.0
0,178.75,68.75,61.0,8.6,31.0
0,138.25,69.25,52.7,7.0,31.0
0,111.75,34.25,49.0,10.2,29.37
1,21.889958,42.477722,82.8,6.5,25.15
0,133.75,70.75,53.2,6.1,31.0
0,42.75,26.75,41.1,12.5,0.59
0,15.75,-15.75,73.8,13.1,0.0
0,43.25,25.75,41.6,12.5,0.39
0,15.75,-11.75,85.0,10.6,0.0
0,46.75,47.25,77.5,6.5,29.24
0,69.25,58.75,54.2,7.8,31.0
0,98.75,54.75,50.1,11.8,31.0
0,145.25,65.25,65.4,8.4,31.0
0,135.75,50.75,45.9,10.1,31.0
0,146.75,63.75,69.6,8.3,31.0
1,19.6641,40.92414,71.9,8.4,8.31
0,36.75,38.25,70.9,8.3,28.25
0,125.25,42.75,18.3,12.4,31.0
0,67.25,66.75,98.6,4.3,31.0
0,86.25,47.25,39.1,10.2,31.0
0,168.75,62.25,65.1,8.9,31.0
0,45.75,66.75,87.7,8.1,31.0
0,87.75,53.75,57.0,10.0,31.0
0,80.75,30.25,51.0,14.0,31.0
0,104.25,76.25,54.5,6.7,31.0
0,48.25,28.25,43.2,8.9,0.0
1,48.682356,53.31121,71.9,6.3,31.0
1,81.419105,43.761281,38.8,13.2,31.0
0,47.75,57.75,70.5,5.9,31.0
0,139.25,48.25,44.0,7.2,31.0
0,71.75,47.25,35.5,10.1,31.0
1,19.880319,40.961653,71.9,8.4,8.31
0,148.75,63.75,79.1,8.0,31.0
0,143.25,69.25,58.9,7.4,31.0
0,93.25,36.75,37.4,14.4,31.0
