lumpy,x,y,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet,elevation,dominant_land_cover,X5_Ct_2010_Da,X5_Bf_2010_Da
0,29.25,22.25,23.9,16.7,1.21,3.7,0.0,7.7,16.0,24.4,7.3,0.0,164,9,21.27238817,0.100454828
0,133.75,44.25,41.9,6.9,31.0,0.3,9.2,-19.2,-15.7,-12.3,1.4,2.79,156,4,3.938888891,9.59e-05
0,44.25,33.25,44.0,11.7,5.85,1.6,27.7,4.8,10.6,16.5,9.6,6.08,147,2,3647.662707,984.1735262
0,149.75,70.25,76.0,8.3,31.0,0.1,20.4,-37.1,-32.9,-28.8,0.1,17.01,150,3,2.083043329,0.000542222
0,-10.75,10.25,40.8,16.3,0.0,5.1,1.1,17.6,25.7,33.9,13.5,0.0,172,4,421.6577135,0.0
0,36.75,27.75,30.4,12.3,6.27,3.2,13.1,4.6,10.7,16.9,5.3,1.46,192,9,0.000695357,0.0
0,70.25,43.25,60.9,9.8,30.38,0.5,16.9,-10.8,-5.9,-1.0,2.8,7.51,166,3,177.4888914,0.001542484
1,36.436,37.189,65.9,6.8,5.85,1.1,140.5,4.8,8.2,11.6,6.9,13.17,145,2,1327.207178,0.241124099
0,88.75,35.25,39.2,15.1,31.0,0.7,4.1,-27.0,-19.4,-11.9,0.2,3.01,209,3,49.0517994,0.0
0,105.25,32.75,69.2,6.3,22.49,0.9,4.6,-1.8,1.4,4.6,4.0,3.71,162,3,560.4819434,0.0
0,49.25,39.75,66.8,8.1,14.72,0.8,23.1,1.2,5.2,9.3,7.2,7.75,142,4,1126.989604,76.44240602
0,126.25,43.75,27.4,11.6,31.0,0.3,2.3,-25.9,-20.1,-14.3,0.9,2.92,164,4,1289.766765,0.0
0,118.25,50.75,30.9,12.2,31.0,0.1,1.3,-35.1,-29.0,-22.9,0.4,0.57,159,2,104.8322578,0.003639319
0,44.25,31.25,34.4,11.9,3.91,2.3,14.5,5.8,11.7,17.7,8.5,4.66,156,9,131.9379519,60.51675935
1,20.035455,41.056754,79.1,7.1,24.03,0.8,80.6,-2.9,0.7,4.3,4.7,11.17,158,3,866.3662016,0.0
0,100.25,58.25,68.2,9.6,31.0,0.0,9.2,-33.7,-28.9,-24.1,0.5,8.52,169,4,16.42101928,8.88e-06
0,66.75,52.25,37.7,8.7,31.0,0.1,3.4,-25.1,-20.7,-16.4,1.1,2.95,163,2,123.4580552,0.006421649
1,20.067938,41.432266,79.1,7.1,24.03,0.8,80.6,-2.9,0.7,4.3,4.7,11.17,158,3,866.3662016,0.0
0,109.25,41.25,25.6,12.1,31.0,0.5,0.6,-22.1,-16.0,-10.0,0.6,0.86,183,3,3.230508046,0.0
0,80.75,18.25,17.3,13.1,0.0,3.5,0.3,16.2,22.7,29.3,16.7,0.0,138,3,1613.365357,472.8629149
1,37.231672,37.382859,69.4,7.2,16.06,0.9,99.9,0.7,4.3,7.9,5.9,13.65,186,2,1199.362539,0.0
0,87.25,67.25,87.9,5.8,31.0,0.0,32.3,-27.7,-24.8,-21.9,0.8,21.39,150,5,4.320037749,0.000287107
0,104.25,56.25,63.0,9.9,31.0,0.0,9.3,-35.3,-30.3,-25.4,0.4,7.37,175,4,29.98222154,0.000187248
0,-14.75,11.25,48.3,12.5,0.0,3.7,0.0,19.6,25.8,32.1,17.8,0.0,147,4,469.5509385,0.0
0,128.25,61.75,82.3,6.0,31.0,0.0,7.0,-38.6,-35.6,-32.6,0.3,3.45,166,4,11.35157642,0.000176777
0,60.25,31.25,40.9,15.3,20.52,1.8,12.7,-1.0,6.7,14.4,5.4,4.54,156,9,11.29603175,0.0
